XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
07/23/2025 20:00,3390.27,3392.47,3386.22,3390.0,-27,-0.01,
07/23/2025 16:00,3398.23,3398.23,3381.14,3390.15,-808,-0.24,
07/23/2025 12:00,3428.11,3429.78,3398.22,3398.73,-2938,-0.86,
07/23/2025 08:00,3420.77,3433.76,3420.22,3428.13,736,0.21,
07/23/2025 04:00,3423.17,3429.71,3416.43,3420.6,-257,-0.08,
07/23/2025 00:00,3427.28,3438.87,3419.16,3422.97,-431,-0.13,
07/22/2025 20:00,3431.49,3433.2,3426.42,3427.45,-404,-0.12,
07/22/2025 16:00,3426.56,3433.53,3426.3,3431.42,486,0.14,
07/22/2025 12:00,3391.28,3430.62,3391.21,3426.66,3538,1.03,
07/22/2025 08:00,3387.53,3391.6,3384.66,3391.33,380,0.11,
07/22/2025 04:00,3392.56,3392.61,3383.41,3387.45,-511,-0.15,
07/22/2025 00:00,3396.52,3397.58,3385.24,3392.63,-389,-0.11,
07/21/2025 20:00,3399.0,3402.59,3393.14,3396.54,-246,-0.07,
07/21/2025 16:00,3397.91,3399.79,3391.37,3398.91,100,0.03,
07/21/2025 12:00,3375.38,3401.53,3374.53,3397.93,2255,0.66,
07/21/2025 08:00,3364.8,3375.64,3362.66,3375.61,1081,0.32,
07/21/2025 04:00,3351.36,3370.65,3350.61,3364.79,1343,0.40,
07/21/2025 00:00,3349.19,3358.55,3347.6,3351.37,218,0.07,
07/20/2025 20:00,3348.84,3350.29,3343.7,3349.09,25,0.01,
07/18/2025 20:00,3348.41,3352.0,3347.2,3349.88,147,0.04,
07/18/2025 16:00,3353.72,3357.53,3347.64,3348.22,-550,-0.16,
07/18/2025 12:00,3354.26,3361.26,3351.15,3353.72,-54,-0.02,
07/18/2025 08:00,3349.64,3357.52,3346.25,3354.35,471,0.14,
07/18/2025 04:00,3334.64,3350.05,3331.73,3349.86,1522,0.45,
07/18/2025 00:00,3340.35,3344.2,3334.07,3334.75,-560,-0.17,
07/17/2025 20:00,3339.86,3343.99,3336.8,3340.29,43,0.01,
07/17/2025 16:00,3336.72,3341.13,3334.5,3339.85,313,0.09,
07/17/2025 12:00,3324.32,3338.38,3309.71,3336.78,1246,0.37,
07/17/2025 08:00,3325.69,3332.12,3322.05,3324.31,-138,-0.04,
07/17/2025 04:00,3341.14,3344.61,3325.2,3325.5,-1564,-0.47,
07/17/2025 00:00,3346.23,3346.34,3336.5,3341.46,-477,-0.14,
07/16/2025 20:00,3347.17,3351.98,3344.4,3346.18,-99,-0.03,
07/16/2025 16:00,3341.14,3357.07,3338.81,3347.04,590,0.18,
07/16/2025 12:00,3339.22,3374.39,3319.85,3344.67,545,0.16,
07/16/2025 08:00,3337.91,3343.08,3333.61,3339.22,131,0.04,
07/16/2025 04:00,3332.8,3341.75,3332.5,3337.79,499,0.15,
07/16/2025 00:00,3330.92,3334.79,3323.81,3334.16,324,0.10,
07/15/2025 20:00,3330.25,3331.55,3324.1,3330.94,69,0.02,
07/15/2025 16:00,3328.45,3331.62,3320.7,3330.48,203,0.06,
07/15/2025 12:00,3355.0,3358.64,3325.31,3329.1,-2590,-0.78,
07/15/2025 08:00,3364.3,3366.32,3354.02,3354.92,-938,-0.28,
07/15/2025 04:00,3357.98,3365.2,3357.42,3364.32,634,0.19,
07/15/2025 00:00,3345.23,3358.37,3343.8,3357.87,1264,0.38,
07/14/2025 20:00,3344.27,3346.58,3340.7,3345.29,102,0.03,
07/14/2025 16:00,3344.86,3351.77,3342.8,3344.09,-77,-0.02,
07/14/2025 12:00,3364.0,3366.61,3341.13,3345.48,-1852,-0.55,
07/14/2025 08:00,3369.96,3369.96,3369.96,3369.96,0,0.00,
07/14/2025 04:00,3355.93,3374.19,3353.3,3371.51,1558,0.46,
07/14/2025 00:00,3368.44,3372.64,3353.4,3355.98,-1246,-0.37,
07/13/2025 20:00,3362.94,3374.05,3359.42,3367.85,491,0.15,
07/11/2025 16:00,3358.77,3359.13,3349.65,3356.31,-246,-0.07,
07/11/2025 12:00,3347.66,3367.51,3344.84,3358.54,1088,0.32,
